"","MUC9905","MUC9906","MUC9907","MUC9908","MUC9909","MUC9910","MUC9911","MUC9912","MUC9913","MUC9914","MUC9915","MUC9916","MUC9917","MUC9918","MUC9919","MUC9920","MUC9921","MUC9922","MUC9923","MUC9924","MUC9925","MUC9926","MUC9927","MUC9928","MUC9929","MUC9930","MUC9931","MUC9932","MUC9933","MUC9934","MUC9935","MUC9936","MUC9937","MUC9938","MUC9939","MUC9940"
"ENSMUSG00000036036",2830.62662572065,3395.28316754403,3052.00276196623,2377.31295839168,2402.76180612227,2786.80306534404,4000.46716924097,7676.13065941568,6749.08639308426,9342.42152609071,6291.62992255853,1867.96716400936,1830.17363187341,1497.61935444847,1224.58230495158,1675.60935965452,1912.40776875405,5980.73954955617,6116.62726734069,6035.13717504313,6231.64375367986,2481.98493826306,2807.26564209419,4036.90622176659,5406.24587346739,6172.70980664297,5145.47848370113,1457.60273957166,1288.90524034365,1730.04252085028,1818.92606173045,6683.57274027713,5079.02646850485,6419.47963375531,71.656306186447,90.0232211623737
"ENSMUSG00000036040",12.3743240468662,23.5025781684135,21.0690525974,17.7411414805349,166.677453293666,76.3184351604664,61.363275386649,29.3766959793941,58.0316972750151,90.9554251497009,182.58954373477,22.6805143760242,42.0376016284649,25.7829205143612,42.226976032813,55.1009007757011,48.4242701079008,6.06976273635605,8.1314099565829,44.8349593484632,82.2743220507618,14.8997516041068,66.0636721547111,151.959257648775,41.3354815275173,46.0033790290609,54.1240863693162,44.4517147528946,43.3633115935228,51.7534087433843,42.9585072182882,4.34751045551418,8.64699122111913,88.523967679613,2.47090710987748,1.52581730783684
"ENSMUSG00000036045",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.848188887121256,0,0,0,0,0,0,1.03376080820685,0,0,0,0,0,0,10661.9641791213,7976.97288537101
"ENSMUSG00000036046",4173.24078480564,4741.64514547743,4739.03190208662,3651.44948290282,3217.62935555797,3829.29715387619,4338.66249381511,11191.5419449498,10006.9858781036,6574.77787510695,5572.63287478517,3987.23442730506,4940.95615237982,3491.74409251635,2825.95916527287,3096.48996490333,2987.56692535266,6629.19253522354,7324.59339089084,6016.67572119376,5368.18746659043,3792.37888197161,4184.03256979837,4250.51752109001,9386.41763423544,10258.7535234806,11193.8451354722,3889.00816047417,3843.65012975779,3443.81968466692,3069.9616134045,7016.88187519988,6978.12191544313,5364.15458085565,9105.29269989852,9957.48375094323
"ENSMUSG00000006476",7450.37426988405,7224.52465341198,8522.4317756483,6468.25890069866,6237.71506276789,6385.57133775614,6337.15280356666,12670.1689759127,12717.0661408468,7471.33849443972,7335.23060363814,2893.12641380565,2658.62197616121,2654.16750323553,5163.87193447418,4874.1714850112,4836.11080164557,5384.89117427055,4420.77654639557,6079.09301754163,6114.59368725713,6842.90697354927,5798.62871725951,6369.26374202149,13969.2172046415,16320.5833909253,17419.3451608156,2964.82599793725,2762.3352108725,4829.33237016838,4861.64569494774,6041.59036301287,5957.77695135108,6024.6030588249,7922.96364782214,6635.77947178243
"ENSMUSG00000036052",1515.85469574112,2006.95230002417,1842.03716994412,1455.58001692571,1421.90271883856,1579.87028662079,1999.18761969912,3740.63262137618,4163.19396250959,3761.65651154834,3153.52429757029,1320.00593668461,1556.41656760999,1258.94317597267,1080.03611776233,1068.59615766646,1210.60675269752,3789.55520173163,3927.47100902954,3912.06998236591,4825.34657883282,1638.97267645175,1868.28064853523,2000.65216927301,3844.19978205911,4209.89896806971,4706.33532838645,1462.77154361269,1432.8345298881,1310.83991002886,1065.58053270729,3815.66500978961,4080.29898246559,3989.54645351604,2108.91921828043,1827.92913478854
"ENSMUSG00000036053",3048.20849021139,2368.72412825939,2730.69970985588,2314.41254768796,1657.85763214317,1800.95771218874,2312.97709610812,3287.2522800942,2619.55081499418,1890.57347989735,1579.19667603494,987.963206219616,758.727444025952,855.256306204953,1096.27726239034,915.036270258773,960.063789965338,1553.85926050715,1581.10749155779,1352.08171525365,1348.6203305228,2293.7775495796,1737.03415318787,1765.33240457119,2868.46486284377,3037.40258973928,2805.84184110023,909.709511222028,695.658232798217,1045.41885661636,831.928164178557,1891.16704814867,1330.55577414971,1511.87000980912,9751.43490913148,8210.42293347005
"ENSMUSG00000036054",4278.42253920401,4692.96123355715,4318.40331630281,4847.36370179524,3715.60396910201,3998.45657201537,3994.88868966036,5375.93536422912,4759.75981049674,5619.74591103509,5052.45555241189,5984.93413354528,5979.59250480994,6201.89736601163,4584.06307125441,4951.85472217038,4935.06474490954,4508.82208598982,4964.67752349145,5417.99714636429,5447.0690330927,4476.98325830767,4090.66257981971,4088.1382000596,4599.11620785114,5069.80828376677,5002.78771054566,6017.52166457207,6354.10908392748,5266.27900684467,4597.60804082557,5692.3403564199,5593.52244616144,5057.80197360486,1415.8297739598,1364.08067320614
"ENSMUSG00000036057",655.839174483911,846.932191854617,718.605186804179,633.036184646359,731.18586506604,810.391631085365,832.588077405214,1107.50143842316,969.129344492753,1474.77725064158,1007.08277233266,653.198814029498,619.285643502264,558.38439285388,571.688290905775,718.118296994793,647.060536804124,884.162105262532,857.412005421908,909.885939718812,988.988242383384,706.561905015802,696.751528991686,872.680308211534,900.678386968008,971.96882871657,827.852502876132,613.020159266662,596.014878498207,670.576310432137,663.23744071162,997.029064464585,906.853204314868,960.833177286586,1636.97596029383,1586.85000015032
"ENSMUSG00000036061",1424.07845906019,1300.19619938831,1364.97362184584,1584.6065004205,1140.67738612085,1055.86948438501,1068.27883968575,1596.13381488041,1641.13639893743,1127.19759024808,1163.70402540293,1501.4500516928,1605.631320736,1686.20300163922,1183.97944338156,1226.67251235085,1053.40332510086,1533.62671805263,1630.79944129246,1129.66515221128,1102.64555325763,1502.52231965625,1129.24836936453,997.721068791097,1565.3094188973,1720.99820521538,1594.20036215077,1657.11857555558,1729.91934548628,1165.93036554739,1046.72070027,1596.98550732554,1357.5776217157,1047.36784232171,4882.5124491179,4789.54052929985
