"","MUC9905","MUC9906","MUC9907","MUC9908","MUC9909","MUC9910","MUC9911","MUC9912","MUC9913","MUC9914","MUC9915","MUC9916","MUC9917","MUC9918","MUC9919","MUC9920","MUC9921","MUC9922","MUC9923","MUC9924","MUC9925","MUC9926","MUC9927","MUC9928","MUC9929","MUC9930","MUC9931","MUC9932","MUC9933","MUC9934","MUC9935","MUC9936","MUC9937","MUC9938","MUC9939","MUC9940"
"ENSMUSG00000000001",13.2298996711657,13.1143046098814,13.2341095060758,13.2661590387133,13.1812487462628,13.0004515956428,13.0391323115303,12.7992279544441,12.8730818439449,12.1263441787116,12.5526403952767,13.4566633903793,13.5030593141185,13.5241669365184,13.4295594155422,13.2797879026799,13.2118000820776,13.1027224002002,13.1020200494278,12.9275022474086,12.9221145379904,13.4135614816387,13.2951455069082,12.9788876103332,12.9040179039917,12.9358717951265,13.1318706998365,13.7283434881864,13.5082617808667,13.3531183611231,13.3553706296643,12.6993936853518,13.1076445058599,12.8357485173828,13.1017171767815,13.2779407593441
"ENSMUSG00000000088",12.7396557371713,12.3121869314568,12.6604137392254,12.477602667138,12.3801765112525,12.1927711482956,12.4107930229246,12.9570852746918,13.2043915912198,12.4572081644572,12.7763441026678,12.8180031982769,13.0247319067619,13.0126454532963,12.5250148264758,12.3587359537554,12.5001621560078,13.366823245619,13.0734419344778,12.5299041116212,12.7676286268977,12.5312464659146,12.4574032323895,12.2857292874446,13.1271339427719,13.1196748054328,13.1254503812527,13.1945954187759,13.0478530256959,12.1999892817089,12.3854072620488,12.7750969374311,13.0176587904381,12.7371912716766,12.0721297231919,12.3810961236652
"ENSMUSG00000000581",10.9728387288618,10.6644446275404,10.825621398268,10.7669975419491,11.0160964888367,10.808895506984,11.0103072892389,11.3128399516233,11.6393384161834,10.7032762798659,11.3645136450312,11.0178505437096,11.1910415594201,11.1401070526417,11.2339589273887,10.9959280146342,11.1939512080404,11.8384007992729,11.4616456805783,11.5219988900571,11.7558933879205,10.9260526721237,11.0408141366054,10.8690929755551,11.5713775080415,11.3472535334707,11.5632535834529,11.3330236899334,11.1746742230484,10.9901919709849,11.0578088426835,11.3115733078898,11.6735670665365,11.5958199835149,11.3165862206149,11.2238250476515
"ENSMUSG00000006471",10.7316698196164,10.9562889320027,10.7677334442685,10.935503858428,10.5577389394451,10.6609225503627,10.7570253988163,10.7953194122756,10.6113589719271,10.8883158862736,10.8946776450624,10.8574309857379,10.8286587635512,10.7788635721647,10.6277882140349,10.5511787681166,10.6428528119856,10.7328276366333,10.829310332758,10.7346233517685,10.7886722332306,10.8447643849498,10.5773397541817,10.6475912504722,10.6418739136038,10.8254235520391,10.791444600351,10.7446360702901,10.9082368730804,10.6019458252426,10.6945578823536,10.8051885878731,10.6999345991739,10.6857389546841,9.88731755335662,10.1987775582617
"ENSMUSG00000036019",9.02346236695776,9.12763403649019,9.0870915038407,9.09847069485738,9.29201180260103,9.32239475093268,9.21963951379337,8.75803255957094,8.60562311834091,8.70651595618017,8.48226673683107,9.1496962033888,9.00947729270269,8.69331869870824,8.94265597158601,9.04602597154983,9.18450108393948,9.59332766436438,10.3891038531105,9.58034924120575,9.55083629189341,9.0143295501336,9.17102998145617,9.3443474507782,8.53095845178638,8.36256989329932,8.42302975300694,8.86033383231668,8.63206069993845,9.08271506175838,9.21048462502505,9.68371127718382,9.57778810268061,9.682841508057,8.58810628174751,8.66930696155198
"ENSMUSG00000036022",9.31229786632356,9.26538394972554,9.24083384187499,9.36885173497158,9.21264204022579,9.25214325043988,9.11987612929541,8.43252124786816,8.30202512317241,8.4888240813029,8.39622346597361,10.3752873952746,10.3636377833602,10.4308461851532,9.72932595202295,9.7225644793069,9.66249133595963,8.56862181334631,8.73368267778358,8.49876540711922,8.49146490025012,9.31598446631619,9.416066231312,9.12672154010023,8.49951169863001,8.48580218414283,8.41262957810245,10.3522172482461,10.4833613012157,9.75504392572731,9.69639454933312,8.56049287889463,8.62695294104245,8.56228714976359,10.9058627504217,10.9542689701609
"ENSMUSG00000036023",10.9990110948181,10.9107258021777,10.8576769306786,11.1371718396828,10.7814237632991,10.5991844483856,10.5924010843413,10.4568129614305,10.377255093246,10.6179719769146,10.6334190255417,11.1725538275467,11.2963554725184,11.3151550999424,10.8727328431133,10.8335898580875,10.8400972216294,10.4344689796414,10.5468956558702,10.3671986268262,10.5280147317041,11.0332511409662,10.6322336238111,10.7622916321356,10.4524455516726,10.4359974092763,10.362387279156,11.2386462922076,11.2883978468597,10.7785089404587,10.8582713913602,10.476967520759,10.4765118977701,10.5370456840884,13.3977220175324,13.2851013367643
"ENSMUSG00000036026",11.7013434869344,11.8489517259308,11.8969241723474,11.7272760914014,11.774177712074,11.9239271603134,12.0924341033205,13.0112459695173,12.8114672171844,12.8642116838318,12.7364064854982,11.3808185419554,11.4693530519806,11.3151550999424,11.2963721193764,11.3790278128087,11.5331530681032,12.6544433537607,12.6887294564924,12.4179963689475,12.5460448938162,11.842878099379,11.828400042211,12.0465750217453,12.9047256009048,12.9500834037206,12.8737416345222,11.4920468248358,11.3465013668485,11.5800198599512,11.5953912642921,12.8265606875876,12.6116252523075,12.4747006471547,5.22888990496571,5.44988173547752
"ENSMUSG00000036027",4.4683671989654,4.32757883189567,4.25825747197035,3.13922325985271,3.13922325985271,4.28610277078523,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,5.17927562297358,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,7.16302239146051,6.75879018177814
"ENSMUSG00000036030",4.4683671989654,7.09941748569032,6.96602775345492,7.21639924122922,7.65231465655282,7.61607330296147,7.06837009213389,6.46382686477212,5.16584990233417,3.13922325985271,7.07244071493346,7.96764886679745,8.15563938679709,8.2460710508646,7.88440858250418,8.11184939763624,7.96747114178126,5.75849946554884,6.24462020251182,5.29589604831959,5.2589340070116,7.36529164086573,7.53273377296984,7.43622306352427,4.50719193131591,5.92832339660641,5.65672589136073,8.03397820247918,8.22669090046284,8.00443858612369,8.14636469470248,6.71168000655095,6.07674752622061,5.73977602204373,13.4277127772428,13.6190388788278
"ENSMUSG00000036036",11.367640847773,11.650318542809,11.4838318555908,11.1036270999632,11.1195035790439,11.3437260531121,11.9103353328156,12.9615893602256,12.7545081390399,13.2738061440405,12.6410527243017,10.7532375018421,10.7243965063248,10.4493189690374,10.1887869441307,10.6015665659295,10.7865887843213,12.5590042644697,12.5953888239624,12.5736691533558,12.6255481830787,11.1680657389276,11.354931922273,11.9248210381467,12.3954091847633,12.6101662653386,12.3153861719413,10.4133123668339,10.2534323477641,10.6457526718891,10.7157262708093,12.7387575197664,12.2943595360529,12.6735978363234,8.0794643518065,8.20752892501953
"ENSMUSG00000036040",6.88909571186875,7.38842911388297,7.31065757095805,7.18257162292172,8.55071966102443,8.11512412391308,7.99069081081588,7.53969602283574,7.95833565935048,8.21325174174025,8.60312055521756,7.36338636869911,7.76643416742629,7.45234458687278,7.76917711761636,7.92809155459195,7.8517649042689,6.20123209736602,6.50076519511659,7.80554750101582,8.15734130187395,7.04477698514203,8.03313790474849,8.49829080721892,7.75613614068053,7.82104976500279,7.91760447029309,7.80036006030178,7.78533850933821,7.8912308742213,7.77963875769131,5.83792101838327,6.5608075945815,8.19819124731366,5.22888990496571,4.77615873749049
"ENSMUSG00000036045",3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,4.33439474434917,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,4.47015300039144,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,3.13922325985271,13.4802587842766,13.0231061568977
"ENSMUSG00000036046",11.9779664668306,12.183316539689,12.1824270933496,11.7651155798846,11.5660990807272,11.8406238989211,12.0403216464321,13.5551846112465,13.3815842415833,12.712243284942,12.4445065327072,11.9050447658086,12.2498033608438,11.6944268015384,11.3651087615602,11.5063025594428,11.4507782592814,12.7255610782472,12.886348313393,12.5687072483318,12.3839693192616,11.8252154376933,11.9821041447333,12.0073778567736,13.2812009956908,13.4203473940125,13.5555016747176,11.8652606638115,11.8465778128403,11.6726500010845,11.4929368574376,12.8172705839385,12.8083435152406,12.382752408466,13.2332749322176,13.3738344986852
"ENSMUSG00000006476",12.9137037417462,12.8642261964942,13.1284997109787,12.6858394872385,12.627124358249,12.6650315987441,12.652718183597,13.7448099686087,13.7504061311182,12.9182153210014,12.8886810026391,11.4012096278512,11.2719109205917,11.2693635063352,12.3211594339266,12.2278174004369,12.2151572770012,12.3890000446481,12.070450946189,12.5854215143379,12.5948503976816,12.7767886985099,12.5089106955924,12.6608951327624,13.8916668364772,14.1214357908018,14.2160918439317,11.4389663377435,11.3302351954865,12.2128925112274,12.2236614892841,12.5753999550231,12.552773288601,12.5708397752893,13.0122481107256,12.727165505156
"ENSMUSG00000036052",10.4654997460372,10.8556106974398,10.7334980223041,10.4114737962864,10.3805938806795,10.5212187551047,10.8500378447514,11.80338695896,11.9741054558547,11.8122884997025,11.5347048491816,10.2839384490943,10.500997002448,10.2235836959795,10.0354765518427,10.0228432796589,10.1744582710071,11.824031310584,11.8809477808395,11.8746834307273,12.2115593764745,10.5712266200209,10.7534748688399,10.8510902604379,11.8468054164111,11.9919812587452,12.1712585891744,10.418002397726,10.3906736600491,10.2749976216549,10.0195004043423,11.8349501219842,11.9419143657424,11.9059702991435,10.9272807558711,10.7226695477733
"ENSMUSG00000036053",11.4819022657405,11.0982377545489,11.3126422566951,11.0637872761269,10.5869273869516,10.7017909980645,11.0628679407959,11.5995814118854,11.2494446038384,10.7702775643223,10.5206410113787,9.93159279777492,9.64875942389275,9.77240876526367,10.0532819976595,9.84557180216001,9.89908871727022,10.4987788078077,10.5222794184482,10.3149015251101,10.3115843409311,11.0505272325909,10.6513530259172,10.6738498898958,11.3880382150159,11.4763955016374,11.3541544494361,9.83915207867735,9.56389022165109,9.99701356881306,9.74317234092832,10.7707228843806,10.2941778284034,10.4619759512424,13.3411086075353,13.0691423951199
"ENSMUSG00000036054",12.0178758934896,12.1666688605517,12.032805747533,12.2189102883332,11.7927304314582,11.9095325179387,11.9081069758725,12.3863046999409,12.1894691863098,12.4581448637498,12.2858769967584,12.5601398649324,12.5586935845633,12.6178029545327,12.1288256940699,12.2533639770528,12.2478754463711,12.1021759333411,12.2575435572825,12.398925431593,12.4075921659172,12.090771747558,11.945971919926,11.9449844528405,12.134107490902,12.2914216058194,12.2699041360086,12.5689349505581,12.6570413383972,12.35293964266,12.1335790517307,12.4789385253523,12.4505677463465,12.2875872749958,10.3749706970679,10.3263558075609
"ENSMUSG00000036057",9.50844603969682,9.76202181073605,9.5951705341496,9.4759881194697,9.612121756456,9.7158244925692,9.74400485974419,10.0654991018251,9.90970455066889,10.4288508607873,9.95358662399749,9.50471493180583,9.45615165029424,9.36569593915223,9.3858394184073,9.59451171566794,9.49601366981985,9.80809498981295,9.77509055487847,9.83936501305189,9.93277768220035,9.57881278178224,9.5653913846618,9.79399035561123,9.8282241582579,9.91301885351429,9.73802351608011,9.44704488961645,9.42210577126092,9.52914403571277,9.51886350073951,9.94204974107497,9.83570183415694,9.89999171360438,10.5695588260675,10.5271946379984
